"filename", "language", "YAML", "Dart", "Markdown", "Properties", "Groovy", "XML", "Java", "GraphQL", "JSON", "HTML", "Swift", "C++", "Ruby", "Objective-C", "comment", "blank", "total"
"/Users/juanma/development/flutter/release-untitled-startup/untitled_client/graphql/mutations/deleteUser.graphql", "GraphQL", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3
"/Users/juanma/development/flutter/release-untitled-startup/untitled_client/graphql/mutations/deleteUserSearch.graphql", "GraphQL", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3
"/Users/juanma/development/flutter/release-untitled-startup/untitled_client/graphql/mutations/editProfile.graphql", "GraphQL", 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 26
"/Users/juanma/development/flutter/release-untitled-startup/untitled_client/graphql/mutations/followUnfollowMutation.graphql", "GraphQL", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 9
"/Users/juanma/development/flutter/release-untitled-startup/untitled_client/graphql/mutations/likeComment.graphql", "GraphQL", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 6
"/Users/juanma/development/flutter/release-untitled-startup/untitled_client/graphql/mutations/likePost.graphql", "GraphQL", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 6
"/Users/juanma/development/flutter/release-untitled-startup/untitled_client/graphql/mutations/likeReply.graphql", "GraphQL", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 6
"/Users/juanma/development/flutter/release-untitled-startup/untitled_client/graphql/mutations/refreshTokens.graphql", "GraphQL", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 5
"/Users/juanma/development/flutter/release-untitled-startup/untitled_client/graphql/mutations/sendResetPasswordEmail.graphql", "GraphQL", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3
"/Users/juanma/development/flutter/release-untitled-startup/untitled_client/graphql/mutations/signIn.graphql", "GraphQL", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 14
"/Users/juanma/development/flutter/release-untitled-startup/untitled_client/graphql/mutations/signOut.graphql", "GraphQL", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3
"/Users/juanma/development/flutter/release-untitled-startup/untitled_client/graphql/mutations/signUp.graphql", "GraphQL", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 14
"/Users/juanma/development/flutter/release-untitled-startup/untitled_client/graphql/mutations/userTapped.graphql", "GraphQL", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 11
"/Users/juanma/development/flutter/release-untitled-startup/untitled_client/graphql/mutations/viewClip.graphql", "GraphQL", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3
"/Users/juanma/development/flutter/release-untitled-startup/untitled_client/graphql/queries/comments.graphql", "GraphQL", 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 13
"/Users/juanma/development/flutter/release-untitled-startup/untitled_client/graphql/queries/followersList.graphql", "GraphQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 20
"/Users/juanma/development/flutter/release-untitled-startup/untitled_client/graphql/queries/followingList.graphql", "GraphQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 20
"/Users/juanma/development/flutter/release-untitled-startup/untitled_client/graphql/queries/followingPosts.graphql", "GraphQL", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 11
"/Users/juanma/development/flutter/release-untitled-startup/untitled_client/graphql/queries/me.graphql", "GraphQL", 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 12, 1, 34
