Date : 2022-12-30 21:56:24
Directory : /Users/juanma/development/flutter/release-untitled-startup/untitled_server
Total : 194 files,  19966 codes, 754 comments, 1653 blanks, all 22373 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /Users/juanma/development/flutter/release-untitled-startup/untitled_server/src/utils/global/globalInput.ts                       | TypeScript         |         36 |          0 |         10 |         46 |
| /Users/juanma/development/flutter/release-untitled-startup/untitled_server/src/utils/global/sendEmail.ts                         | TypeScript         |         27 |          1 |          4 |         32 |
| /Users/juanma/development/flutter/release-untitled-startup/untitled_server/src/utils/global/uploadImage.ts                       | TypeScript         |         24 |          1 |          5 |         30 |
| /Users/juanma/development/flutter/release-untitled-startup/untitled_server/src/utils/like/likeDataLoader.ts                      | TypeScript         |         28 |          0 |         13 |         41 |
| /Users/juanma/development/flutter/release-untitled-startup/untitled_server/src/utils/like/likeProcess.ts                         | TypeScript         |          4 |         86 |          3 |         93 |
| /Users/juanma/development/flutter/release-untitled-startup/untitled_server/src/utils/main/getUser.ts                             | TypeScript         |         47 |          1 |         15 |         63 |
| /Users/juanma/development/flutter/release-untitled-startup/untitled_server/src/utils/notification/notificationInput.ts           | TypeScript         |          9 |          0 |          3 |         12 |
| /Users/juanma/development/flutter/release-untitled-startup/untitled_server/src/utils/post/captionUserTagsDataLoader.ts           | TypeScript         |         18 |          0 |          4 |         22 |
| /Users/juanma/development/flutter/release-untitled-startup/untitled_server/src/utils/post/fileDataLoader.ts                      | TypeScript         |         40 |          2 |          5 |         47 |
| /Users/juanma/development/flutter/release-untitled-startup/untitled_server/src/utils/post/postInput.ts                           | TypeScript         |         39 |          0 |         10 |         49 |
| /Users/juanma/development/flutter/release-untitled-startup/untitled_server/src/utils/post/validateInput.ts                       | TypeScript         |         17 |          1 |          3 |         21 |
| /Users/juanma/development/flutter/release-untitled-startup/untitled_server/src/utils/subscriberUtils/afterActionFunction.ts      | TypeScript         |         68 |          6 |          3 |         77 |
| /Users/juanma/development/flutter/release-untitled-startup/untitled_server/src/utils/user/changePassword.ts                      | TypeScript         |         35 |          0 |          5 |         40 |
| /Users/juanma/development/flutter/release-untitled-startup/untitled_server/src/utils/user/checkBlackList.ts                      | TypeScript         |         17 |          0 |          4 |         21 |
| /Users/juanma/development/flutter/release-untitled-startup/untitled_server/src/utils/user/createElasticUser.ts                   | TypeScript         |        131 |          9 |         10 |        150 |
| /Users/juanma/development/flutter/release-untitled-startup/untitled_server/src/utils/user/followDataLoader.ts                    | TypeScript         |         10 |          0 |          4 |         14 |
| /Users/juanma/development/flutter/release-untitled-startup/untitled_server/src/utils/user/generateUpdateUserSQL.ts               | TypeScript         |         30 |          0 |          7 |         37 |
| /Users/juanma/development/flutter/release-untitled-startup/untitled_server/src/utils/user/invalidateJWT.ts                       | TypeScript         |          9 |          0 |          2 |         11 |
| /Users/juanma/development/flutter/release-untitled-startup/untitled_server/src/utils/user/signIn.ts                              | TypeScript         |         36 |          0 |          5 |         41 |
| /Users/juanma/development/flutter/release-untitled-startup/untitled_server/src/utils/user/userDataLoader.ts                      | TypeScript         |         10 |          2 |          5 |         17 |
| /Users/juanma/development/flutter/release-untitled-startup/untitled_server/src/utils/user/userInput.ts                           | TypeScript         |         50 |         16 |         21 |         87 |
| /Users/juanma/development/flutter/release-untitled-startup/untitled_server/src/utils/user/validateInput.ts                       | TypeScript         |        204 |          2 |         50 |        256 |
| /Users/juanma/development/flutter/release-untitled-startup/untitled_server/src/utils/user/verifyJWT.ts                           | TypeScript         |         23 |          0 |          5 |         28 |
| /Users/juanma/development/flutter/release-untitled-startup/untitled_server/src/utils/videogameGenre/videogameGenreDataLoader.ts  | TypeScript         |         27 |          0 |          8 |         35 |
| /Users/juanma/development/flutter/release-untitled-startup/untitled_server/src/utils/videogameGenre/videogameGenreTypes.ts       | TypeScript         |        101 |          2 |          5 |        108 |
| /Users/juanma/development/flutter/release-untitled-startup/untitled_server/src/views/forgotEmail.html                            | HTML               |         74 |          3 |          0 |         77 |
| /Users/juanma/development/flutter/release-untitled-startup/untitled_server/tsconfig.json                                         | JSON with Comments |         37 |          1 |          0 |         38 |
| /Users/juanma/development/flutter/release-untitled-startup/untitled_server/yarn-error.log                                        | Log                |      3,377 |          0 |        553 |      3,930 |
| Total                                                                                                                            |                    |     19,966 |        754 |      1,653 |     22,373 |
+----------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
