"filename", "language", "JavaScript", "JSON with Comments", "JSON", "Log", "TypeScript", "HTML", "comment", "blank", "total"
"/Users/juanma/development/flutter/release-untitled-startup/untitled_server/dist/resolvers/notification.js", "JavaScript", 373, 0, 0, 0, 0, 0, 1, 0, 374
"/Users/juanma/development/flutter/release-untitled-startup/untitled_server/dist/resolvers/post.js", "JavaScript", 587, 0, 0, 0, 0, 0, 1, 20, 608
"/Users/juanma/development/flutter/release-untitled-startup/untitled_server/dist/resolvers/reply.js", "JavaScript", 272, 0, 0, 0, 0, 0, 1, 0, 273
"/Users/juanma/development/flutter/release-untitled-startup/untitled_server/dist/resolvers/user.js", "JavaScript", 800, 0, 0, 0, 0, 0, 1, 12, 813
"/Users/juanma/development/flutter/release-untitled-startup/untitled_server/dist/resolvers/userSearch.js", "JavaScript", 100, 0, 0, 0, 0, 0, 1, 0, 101
"/Users/juanma/development/flutter/release-untitled-startup/untitled_server/dist/resolvers/videogame.js", "JavaScript", 108, 0, 0, 0, 0, 0, 1, 0, 109
"/Users/juanma/development/flutter/release-untitled-startup/untitled_server/dist/subscribers/captionTagSubscription.js", "JavaScript", 108, 0, 0, 0, 0, 0, 1, 0, 109
"/Users/juanma/development/flutter/release-untitled-startup/untitled_server/dist/subscribers/commentSubscription.js", "JavaScript", 114, 0, 0, 0, 0, 0, 1, 0, 115
"/Users/juanma/development/flutter/release-untitled-startup/untitled_server/dist/subscribers/commentTagSubscription.js", "JavaScript", 108, 0, 0, 0, 0, 0, 1, 0, 109
"/Users/juanma/development/flutter/release-untitled-startup/untitled_server/dist/subscribers/followSubscription.js", "JavaScript", 118, 0, 0, 0, 0, 0, 1, 0, 119
"/Users/juanma/development/flutter/release-untitled-startup/untitled_server/dist/subscribers/likeCommentSubscription.js", "JavaScript", 113, 0, 0, 0, 0, 0, 1, 0, 114
"/Users/juanma/development/flutter/release-untitled-startup/untitled_server/dist/subscribers/likeReplySubscription.js", "JavaScript", 124, 0, 0, 0, 0, 0, 1, 0, 125
"/Users/juanma/development/flutter/release-untitled-startup/untitled_server/dist/subscribers/likeSubscription.js", "JavaScript", 113, 0, 0, 0, 0, 0, 1, 0, 114
"/Users/juanma/development/flutter/release-untitled-startup/untitled_server/dist/subscribers/notificationSubscriptions.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 0, 1
"/Users/juanma/development/flutter/release-untitled-startup/untitled_server/dist/subscribers/postSubscription.js", "JavaScript", 20, 0, 0, 0, 0, 0, 1, 0, 21
"/Users/juanma/development/flutter/release-untitled-startup/untitled_server/dist/subscribers/postViewSubscription.js", "JavaScript", 42, 0, 0, 0, 0, 0, 1, 0, 43
"/Users/juanma/development/flutter/release-untitled-startup/untitled_server/dist/subscribers/replySubscription.js", "JavaScript", 114, 0, 0, 0, 0, 0, 1, 0, 115
"/Users/juanma/development/flutter/release-untitled-startup/untitled_server/dist/subscribers/replyTagSubscription.js", "JavaScript", 108, 0, 0, 0, 0, 0, 1, 0, 109
"/Users/juanma/development/flutter/release-untitled-startup/untitled_server/dist/subscribers/replyTagSubscroption.js", "JavaScript", 106, 0, 0, 0, 0, 0, 1, 0, 107
"/Users/juanma/development/flutter/release-untitled-startup/untitled_server/dist/subscribers/userSearchSubscription.js", "JavaScript", 43, 0, 0, 0, 0, 0, 1, 0, 44
"/Users/juanma/development/flutter/release-untitled-startup/untitled_server/dist/utils/aws/PlatformEndpointActions.js", "JavaScript", 44, 0, 0, 0, 0, 0, 1, 0, 45
"/Users/juanma/development/flutter/release-untitled-startup/untitled_server/dist/utils/aws/createAplicationEndpoint.js", "JavaScript", 29, 0, 0, 0, 0, 0, 1, 0, 30
